Morrisons,,,,,,,Tesco,,,,,,J Sainbury plc,,,,,,Woolworth,,,,,
,,2022/2023,,,2021/2022,,,2022/2023,,,2021/2022,,,2022/2023,,,2021/2022,,,2022/2023,,,2021/2022,
Consolidated Income Statemtent,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m,Before exceptionals £m,Exceptionals £m,Total £m
Revenue ,18358,0,18358,18479,0,18479,65762,0,65762,61344,0,61344,31491,0,31491,29895,0,29895,#N/A,#N/A,55435,#N/A,#N/A,48679
Cost of sales,-17857,-26,-17883,-18075,-13,-18088,-61005,1029,-59976,-56574,-176,-56750,-28996,-413,-29409,-27523,9,-27514,#N/A,#N/A,-37694,#N/A,#N/A,-35902
Gross Profit,501,-26,475,404,-13,391,4690,-1029,3661,4809,-176,4633,2417,-413,2004,,,0,#N/A,#N/A,13741,#N/A,#N/A,12777
Other operating income,114,0,114,123,0,123,1634,-881,753,1695,-172,1523,35,38,73,34,186,220,#N/A,#N/A,-58,#N/A,#N/A,54
Profit on disposal and closure,0,1,1,0,10,10,0,-9,-9,-2,-38,-40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Administrative expenses,-308,-193,-501,-281,-225,-506,-2060,-76,-2136,-1984,-89,-2073,-1480,-35,-1515,-1352,-78,-1430,#N/A,#N/A,-2947,#N/A,#N/A,-2551
Operating profit,307,-218,89,246,-228,18,2630,-1105,1525,2825,-265,2560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finance costs,-77,0,-77,-67,-21,-88,-647,29,-618,-652,101,-551,-300,-9,-309,-312,-10,-322,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finance income,7,33,40,3,30,33,85,0,85,9,0,9,18,56,74,3,17,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Share of loss of joint venture,-1,0,-1,-1,0,-1,8,0,8,15,0,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Profit before taxation,236,-185,51,181,-219,-38,2076,-1076,1000,2197,-164,2033,690,-363,327,730,124,854,#N/A,#N/A,1858,#N/A,#N/A,1673
Taxation,-34,35,1,-33,41,8,-442,195,-247,-502,-8,-510,-157,37,-120,-154,-23,-177,#N/A,#N/A,-554,#N/A,#N/A,-427
Profit for period,202,-150,52,148,-178,-30,1634,-890,744,1693,-210,1483,533,-326,207,576,101,677,#N/A,#N/A,1303,#N/A,#N/A,6355
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
